imei,slno,lon,lat
3,200,76.35351,10.13345
3,201,76.35355,10.13362
3,202,76.35356,10.13373
3,203,76.35357,10.13389
3,204,76.35356,10.13396
3,205,76.35356,10.13405
3,206,76.35355,10.13424
3,207,76.35353,10.13444
3,208,76.3535,10.13475
3,209,76.35347,10.13507
3,210,76.35345,10.13524
3,211,76.35339,10.13577
3,212,76.35337,10.13594
3,213,76.35334,10.1362
3,214,76.35333,10.1365
3,215,76.35333,10.13688
3,216,76.35334,10.13708
3,217,76.35336,10.13724
3,218,76.35337,10.13751
3,219,76.35338,10.13767
3,220,76.35339,10.13783
3,221,76.3534,10.1382
3,222,76.35339,10.1384
3,223,76.35339,10.13858
3,224,76.35338,10.13889
3,225,76.35336,10.13935
3,226,76.35334,10.13976
3,227,76.35329,10.14029
3,228,76.35325,10.14063
3,229,76.35312,10.14137
3,230,76.35307,10.14167
3,231,76.35298,10.1422
3,232,76.3529,10.14261
3,233,76.35288,10.14275
3,234,76.3528,10.14329
3,235,76.35278,10.14344
3,236,76.35276,10.14372
3,237,76.35276,10.14383
3,238,76.35276,10.14389
3,239,76.35276,10.14396
3,240,76.35278,10.14428
3,241,76.35281,10.14454
3,242,76.35285,10.1448
3,243,76.35292,10.14508
3,244,76.35302,10.14539
3,245,76.35313,10.14573
3,246,76.35318,10.14589
3,247,76.35328,10.1462
3,248,76.35338,10.1465
3,249,76.35352,10.14691
3,250,76.3537,10.14749
3,251,76.35386,10.14794
3,252,76.35396,10.14823
3,253,76.354,10.14836
3,254,76.35403,10.14849
3,255,76.35405,10.14858
3,256,76.35407,10.1487
3,257,76.35409,10.14894
3,258,76.3541,10.14928
3,259,76.35411,10.14936
3,260,76.35411,10.14952
3,261,76.35412,10.14993
3,262,76.35414,10.15024
3,263,76.35415,10.15056
3,264,76.35417,10.15076
3,265,76.3542,10.15094
3,266,76.35424,10.15115
3,267,76.35427,10.15131
3,268,76.35429,10.1514
3,269,76.35437,10.15167
3,270,76.35454,10.15223
3,271,76.35465,10.15262
3,272,76.35468,10.15276
3,273,76.3547,10.15296
3,274,76.35472,10.15311
3,275,76.35472,10.15327
3,276,76.35471,10.15351
3,277,76.35467,10.15378
3,278,76.35463,10.15404
3,279,76.35451,10.15475
3,280,76.35451,10.15477
3,281,76.35447,10.15497
3,282,76.35445,10.1551
3,283,76.35444,10.15513
3,284,76.3544,10.15544
3,285,76.3544,10.15548
3,286,76.35442,10.1556
3,287,76.35445,10.15573
3,288,76.3545,10.15594
3,289,76.35463,10.15628
3,290,76.35477,10.15656
3,291,76.35491,10.15679
3,292,76.35496,10.15688
3,293,76.35503,10.15695
3,294,76.35519,10.15708
3,295,76.35525,10.15712
3,296,76.35544,10.15723
3,297,76.35556,10.1573
3,298,76.35605,10.15758
3,299,76.35639,10.15777
3,300,76.3566,10.1579
3,301,76.35694,10.15812
3,302,76.35708,10.15823
3,303,76.35733,10.15843
3,304,76.35762,10.15869
3,305,76.35787,10.15893
3,306,76.35811,10.15913
3,307,76.35822,10.15922
3,308,76.35837,10.15932
3,309,76.35847,10.15936
3,310,76.35861,10.1594
3,311,76.35881,10.15944
3,312,76.35901,10.15948
3,313,76.35928,10.15955
3,314,76.35972,10.15966
3,315,76.36001,10.15975
3,316,76.3604,10.1599
3,317,76.36053,10.15996
3,318,76.36059,10.15999
3,319,76.36076,10.1601
3,320,76.36082,10.16014
3,321,76.361,10.16028
3,322,76.36112,10.16037
3,323,76.36119,10.16043
3,324,76.36149,10.16067
3,325,76.36168,10.1608
3,326,76.36196,10.16096
3,327,76.36209,10.16101
3,328,76.36221,10.16105
3,329,76.3627,10.1612
3,330,76.36332,10.16138
3,331,76.36379,10.16153
3,332,76.36426,10.16168
3,333,76.36465,10.16179
3,334,76.36564,10.16207
3,335,76.36591,10.16215
3,336,76.36626,10.16223
3,337,76.36643,10.16227
3,338,76.36655,10.1623
3,339,76.36671,10.16232
3,340,76.36698,10.16234
3,341,76.36716,10.16236
3,342,76.36745,10.16237
3,343,76.36793,10.16237
3,344,76.36811,10.16237
3,345,76.36836,10.16239
3,346,76.36841,10.16239
3,347,76.36846,10.1624
3,348,76.36854,10.16242
3,349,76.36865,10.16246
3,350,76.36881,10.16251
3,351,76.369,10.16261
3,352,76.36914,10.16268
3,353,76.36925,10.16276
3,354,76.36941,10.16289
3,355,76.36948,10.16295
3,356,76.36959,10.16307
3,357,76.36969,10.16319
3,358,76.36984,10.16338
3,359,76.36993,10.16354
3,360,76.36997,10.16362
3,361,76.37,10.16369
3,362,76.37001,10.16375
3,363,76.37002,10.16381
3,364,76.37002,10.16387
3,365,76.37003,10.16393
3,366,76.37003,10.164
3,367,76.37003,10.16409
3,368,76.37001,10.16434
3,369,76.37,10.16444
3,370,76.36999,10.16471
3,371,76.37,10.16478
3,372,76.37,10.16485
3,373,76.37002,10.16494
3,374,76.37005,10.16503
3,375,76.37008,10.16517
3,376,76.37016,10.16536
3,377,76.37022,10.16551
3,378,76.37024,10.16557
3,379,76.37025,10.16559
3,380,76.37032,10.16575
3,381,76.37037,10.16585
3,382,76.37064,10.16636
3,383,76.37119,10.16751
3,384,76.37141,10.16799
3,385,76.37153,10.16829
3,386,76.37161,10.16853
3,387,76.37171,10.16881
3,388,76.37177,10.16897
3,389,76.37188,10.16927
3,390,76.37198,10.16953
3,391,76.37207,10.16968
3,392,76.37218,10.16987
3,393,76.37225,10.16998
3,394,76.37244,10.17027
3,395,76.37259,10.17048
3,396,76.3727,10.17066
3,397,76.37274,10.17073
3,398,76.37279,10.17085
3,399,76.37291,10.17105
3,400,76.37303,10.17127
3,401,76.37323,10.17167
3,402,76.37331,10.17187
3,403,76.37355,10.17243
3,404,76.37374,10.17284
3,405,76.37433,10.17391
3,406,76.37458,10.17432
3,407,76.3749,10.17477
3,408,76.37508,10.17502
3,409,76.37547,10.17552
3,410,76.37556,10.17564
3,411,76.37579,10.17596
3,412,76.37602,10.17627
3,413,76.37614,10.17641
3,414,76.37626,10.17651
3,415,76.37638,10.1766
3,416,76.37665,10.17674
3,417,76.37694,10.17687
3,418,76.37704,10.17691
3,419,76.37717,10.17697
3,420,76.3773,10.17704
3,421,76.37738,10.1771
3,422,76.37746,10.17717
3,423,76.37755,10.17732
3,424,76.37774,10.17767
3,425,76.37782,10.17783
3,426,76.37798,10.17816
3,427,76.37812,10.1784
3,428,76.37822,10.17858
3,429,76.37842,10.17888
3,430,76.37854,10.179
3,431,76.37863,10.1791
3,432,76.37879,10.17926
3,433,76.37901,10.17946
3,434,76.37919,10.17962
3,435,76.37926,10.1797
3,436,76.37932,10.1798
3,437,76.37937,10.17989
3,438,76.37941,10.17998
3,439,76.37947,10.18019
3,440,76.37952,10.18039
3,441,76.37957,10.18063
3,442,76.3796,10.18074
3,443,76.37961,10.18086
3,444,76.37962,10.18103
3,445,76.37963,10.18116
3,446,76.37963,10.18128
3,447,76.37963,10.1815
3,448,76.37957,10.18184
3,449,76.37955,10.18208
3,450,76.37954,10.18226
3,451,76.37956,10.18258
3,452,76.37959,10.18279
3,453,76.37961,10.18288
3,454,76.37964,10.183
3,455,76.37968,10.18311
3,456,76.3797,10.18318
3,457,76.37981,10.18348
3,458,76.37994,10.18381
3,459,76.38007,10.18414
3,460,76.38021,10.18442
3,461,76.38034,10.18466
3,462,76.38053,10.18497
3,463,76.38082,10.18546
3,464,76.38115,10.18602
3,465,76.38128,10.18625
3,466,76.38156,10.18675
3,467,76.38169,10.18699
3,468,76.38186,10.18724
3,469,76.38199,10.18742
3,470,76.38207,10.18749
3,471,76.38214,10.18755
3,472,76.38229,10.18766
3,473,76.38254,10.18783
3,474,76.3829,10.18803
3,475,76.38317,10.18818
3,476,76.38375,10.18849
3,477,76.38398,10.18861
3,478,76.38439,10.1888
3,479,76.38468,10.18894
3,480,76.38485,10.18904
3,481,76.38498,10.18911
3,482,76.38515,10.18922
3,483,76.38527,10.18931
3,484,76.3856,10.18959
3,485,76.386,10.18998
3,486,76.38612,10.19009
3,487,76.38614,10.19012
3,488,76.38616,10.19014
3,489,76.3862,10.19019
3,490,76.38639,10.19044
3,491,76.38646,10.19057
3,492,76.38651,10.19071
3,493,76.38655,10.19081
3,494,76.38658,10.19094
3,495,76.38666,10.1914
3,496,76.38676,10.19216
3,497,76.38678,10.19242
3,498,76.38679,10.19256
3,499,76.38678,10.19268
3,500,76.38686,10.19267
3,501,76.38696,10.19267
3,502,76.38701,10.19266
3,503,76.3870092,10.192662
4,1,76.2713754,10.0743391
4,2,76.27137,10.07437
4,3,76.27138,10.07455
4,4,76.27138,10.07471
4,5,76.27139,10.07487
4,6,76.27142,10.07512
4,7,76.27142,10.07515
4,8,76.27145,10.07578
4,9,76.27147,10.07596
4,10,76.27148,10.07609
4,11,76.27148,10.07627
4,12,76.27145,10.07669
4,13,76.2714,10.07693
4,14,76.27137,10.07703
4,15,76.27132,10.07722
4,16,76.27121,10.07752
4,17,76.27114,10.07777
4,18,76.271,10.07832
4,19,76.27096,10.07847
4,20,76.27093,10.07859
4,21,76.27093,10.07861
4,22,76.27071,10.07925
4,23,76.27066,10.07939
4,24,76.27044,10.07998
4,25,76.2702,10.08055
4,26,76.27007,10.08088
4,27,76.26999,10.08109
4,28,76.26995,10.08119
4,29,76.26986,10.08145
4,30,76.26978,10.08175
4,31,76.26969,10.08201
4,32,76.26968,10.08205
4,33,76.26963,10.0822
4,34,76.26962,10.08224
4,35,76.26954,10.08251
4,36,76.26949,10.08269
4,37,76.26937,10.08313
4,38,76.26933,10.08332
4,39,76.26927,10.08359
4,40,76.26925,10.08367
4,41,76.26923,10.08374
4,42,76.2692,10.08391
4,43,76.26917,10.08409
4,44,76.26914,10.08423
4,45,76.26907,10.08437
4,46,76.26904,10.08444
4,47,76.26897,10.08457
4,48,76.26885,10.08491
4,49,76.26885,10.08493
4,50,76.26885,10.08494
4,51,76.26886,10.08496
4,52,76.26887,10.08497
4,53,76.2689,10.08499
4,54,76.2688958,10.0849944
4,55,76.26882,10.08532
4,56,76.26881,10.08533
4,57,76.26879,10.08545
4,58,76.26878,10.08555
4,59,76.26877,10.08566
4,60,76.26877,10.08571
4,61,76.26876,10.0858
4,62,76.26875,10.08588
4,63,76.26874,10.08591
4,64,76.26873,10.08594
4,65,76.26872,10.08597
4,66,76.2687,10.08602
4,67,76.26862,10.08618
4,68,76.26847,10.08646
4,69,76.26846,10.08648
4,70,76.26838,10.08666
4,71,76.26822,10.08705
4,72,76.26812,10.08729
4,73,76.26807,10.08745
4,74,76.26807,10.08746
4,75,76.26803,10.08762
4,76,76.26789,10.08809
4,77,76.26771,10.08866
4,78,76.2677,10.08868
4,79,76.26763,10.08886
4,80,76.26756,10.08905
4,81,76.26749,10.0892
4,82,76.26739,10.08941
4,83,76.26736,10.08947
4,84,76.26732,10.08955
4,85,76.26725,10.0897
4,86,76.26713,10.09
4,87,76.2671,10.09007
4,88,76.26702,10.09025
4,89,76.26701,10.0903
4,90,76.26698,10.09039
4,91,76.26693,10.09056
4,92,76.2669,10.09072
4,93,76.26688,10.09088
4,94,76.26687,10.09097
4,95,76.26681,10.09129
4,96,76.26675,10.09153
4,97,76.26669,10.09175
4,98,76.26658,10.0921
4,99,76.26653,10.09228
4,100,76.2665,10.09247
4,101,76.26648,10.09271
4,102,76.26646,10.09287
4,103,76.26645,10.09295
4,104,76.26643,10.09317
4,105,76.26642,10.09328
4,106,76.2664,10.09342
4,107,76.26636,10.09357
4,108,76.26631,10.09369
4,109,76.26627,10.09379
4,110,76.26617,10.09397
4,111,76.26606,10.09416
4,112,76.26601,10.09426
4,113,76.26596,10.09438
4,114,76.26593,10.09447
4,115,76.2659,10.09456
4,116,76.26587,10.09464
4,117,76.26583,10.09483
4,118,76.26581,10.09492
4,119,76.26579,10.09505
4,120,76.26576,10.09523
4,121,76.26574,10.09537
4,122,76.26571,10.09555
4,123,76.2657,10.09564
4,124,76.2657,10.09567
4,125,76.26567,10.09579
4,126,76.26565,10.09586
4,127,76.26562,10.09595
4,128,76.26561,10.09596
4,129,76.26556,10.09617
4,130,76.26554,10.09627
4,131,76.26543,10.09671
4,132,76.26538,10.0969
4,133,76.26531,10.09715
4,134,76.26531,10.09716
4,135,76.26524,10.09737
4,136,76.2652,10.09749
4,137,76.26513,10.0977
4,138,76.26508,10.0978
4,139,76.26502,10.09797
4,140,76.26488,10.09832
4,141,76.26485,10.09838
4,142,76.26471,10.09871
4,143,76.26454,10.09911
4,144,76.26445,10.09933
4,145,76.26444,10.09936
4,146,76.26439,10.09951
4,147,76.26425,10.09989
4,148,76.26417,10.10006
4,149,76.26405,10.10035
4,150,76.26403,10.10041
4,151,76.26399,10.10051
4,152,76.26392,10.1007
4,153,76.2639,10.10076
4,154,76.26386,10.1009
4,155,76.26376,10.1013
4,156,76.26368,10.10157
4,157,76.26362,10.10182
4,158,76.26361,10.10184
4,159,76.26349,10.10228
4,160,76.26345,10.10244
4,161,76.26344,10.1025
4,162,76.26343,10.10258
4,163,76.26343,10.10266
4,164,76.26343,10.10268
4,165,76.26344,10.10287
4,166,76.26346,10.10296
4,167,76.26347,10.103
4,168,76.2635,10.10314
4,169,76.26357,10.10346
4,170,76.2636,10.10358
4,171,76.2636,10.10366
4,172,76.2636,10.1038
4,173,76.26358,10.10395
4,174,76.26354,10.10416
4,175,76.26341,10.10443
4,176,76.26335,10.10453
4,177,76.26331,10.1046
4,178,76.26319,10.10476
4,179,76.26291,10.10511
4,180,76.26274,10.10531
4,181,76.26261,10.10548
4,182,76.26248,10.10566
4,183,76.26234,10.10589
4,184,76.26224,10.10607
4,185,76.26216,10.10626
4,186,76.26203,10.10659
4,187,76.26201,10.10664
4,188,76.26193,10.10689
4,189,76.26178,10.10736
4,190,76.26159,10.10792
4,191,76.26151,10.10817
4,192,76.26146,10.10839
4,193,76.26142,10.10857
4,194,76.26138,10.10871
4,195,76.26132,10.10889
4,196,76.26128,10.10898
4,197,76.26122,10.10911
4,198,76.26112,10.10934
4,199,76.26107,10.10947
4,200,76.26101,10.10967
4,201,76.26096,10.10993
4,202,76.26091,10.11015
4,203,76.26081,10.11043
4,204,76.26073,10.11066
4,205,76.26066,10.11087
4,206,76.26058,10.11119
4,207,76.26054,10.11138
4,208,76.26047,10.11167
4,209,76.26042,10.11204
4,210,76.26041,10.11208
4,211,76.26032,10.11251
4,212,76.2603,10.11261
4,213,76.26029,10.11269
4,214,76.2602,10.11309
4,215,76.26014,10.11338
4,216,76.26009,10.11356
4,217,76.26002,10.11379
4,218,76.25997,10.11392
4,219,76.25992,10.11402
4,220,76.25984,10.11421
4,221,76.25974,10.11437
4,222,76.25964,10.11452
4,223,76.25963,10.11454
4,224,76.25953,10.11467
4,225,76.25952,10.1147
4,226,76.25942,10.11481
4,227,76.25935,10.1149
4,228,76.25931,10.11495
4,229,76.25919,10.11509
4,230,76.25907,10.11523
4,231,76.25902,10.1153
4,232,76.25896,10.11537
4,233,76.25887,10.1155
4,234,76.25885,10.11552
4,235,76.25884,10.11554
4,236,76.25876,10.11567
4,237,76.25871,10.11576
4,238,76.25868,10.11583
4,239,76.25864,10.11591
4,240,76.25859,10.11599
4,241,76.25855,10.11605
4,242,76.2585,10.11614
4,243,76.25843,10.11624
4,244,76.25833,10.11633
4,245,76.25821,10.11641
4,246,76.25808,10.11648
4,247,76.25796,10.11654
4,248,76.25783,10.11658
4,249,76.25771,10.11663
4,250,76.25759,10.11667
4,251,76.25743,10.11675
4,252,76.25713,10.11695
4,253,76.25668,10.11724
4,254,76.25662,10.1173
4,255,76.25657,10.11737
4,256,76.25649,10.1175
4,257,76.2564,10.11773
4,258,76.25635,10.11787
4,259,76.25631,10.11802
4,260,76.25617,10.11858
4,261,76.25614,10.11874
4,262,76.25611,10.11886
4,263,76.25608,10.11896
4,264,76.25604,10.11909
4,265,76.25596,10.11928
4,266,76.25587,10.11947
4,267,76.2558,10.11958
4,268,76.25578,10.1196
4,269,76.25574,10.11967
4,270,76.25569,10.11974
4,271,76.25561,10.11984
4,272,76.25554,10.11992
4,273,76.25547,10.11997
4,274,76.25529,10.1201
4,275,76.25522,10.12016
4,276,76.25519,10.12019
4,277,76.25517,10.12023
4,278,76.25513,10.12034
4,279,76.25506,10.12069
4,280,76.25503,10.12082
4,281,76.25501,10.12096
4,282,76.25497,10.12112
4,283,76.25494,10.12124
4,284,76.25491,10.12133
4,285,76.25488,10.12143
4,286,76.25483,10.12152
4,287,76.25472,10.12179
4,288,76.25466,10.12196
4,289,76.25462,10.12205
4,290,76.25461,10.12208
4,291,76.25453,10.12234
4,292,76.25451,10.12241
4,293,76.25449,10.12245
4,294,76.25445,10.12252
4,295,76.25441,10.12257
4,296,76.25435,10.12263
4,297,76.25425,10.12274
4,298,76.25402,10.123
4,299,76.25395,10.12308
4,300,76.25388,10.12316
4,301,76.25366,10.12342
4,302,76.25359,10.1235
4,303,76.25354,10.12355
4,304,76.2535,10.12358
4,305,76.25345,10.1236
4,306,76.2534,10.12362
4,307,76.25332,10.12364
4,308,76.25318,10.12366
4,309,76.25292,10.12369
4,310,76.25279,10.1237
4,311,76.25268,10.12374
4,312,76.25227,10.1239
4,313,76.25197,10.12403
4,314,76.2519,10.12406
4,315,76.25178,10.12412
4,316,76.25152,10.12423
4,317,76.2513,10.1243
4,318,76.2511,10.12436
4,319,76.25098,10.1244
4,320,76.25077,10.12444
4,321,76.25059,10.12445
4,322,76.25048,10.12446
4,323,76.25034,10.12446
4,324,76.25025,10.12445
4,325,76.25013,10.12443
4,326,76.24993,10.12438
4,327,76.24986,10.12439
4,328,76.24952,10.12432
4,329,76.24894,10.1242
4,330,76.24842,10.12406
4,331,76.2478,10.12391
4,332,76.24752,10.12384
4,333,76.24732,10.12378
4,334,76.24718,10.12375
4,335,76.24693,10.12368
4,336,76.24669,10.1236
4,337,76.2465,10.12353
4,338,76.2463,10.12347
4,339,76.24607,10.12339
4,340,76.24592,10.12332
4,341,76.24579,10.12326
4,342,76.24568,10.12319
4,343,76.24556,10.12309
4,344,76.2453,10.12297
4,345,76.24502,10.1235
